t,y
0.0,103.64381276082477
0.05,102.56893470077279
0.1,105.29783438728809
0.15,98.89940981427337
0.2,98.77044110612522
0.25,99.33124778841086
0.3,99.53811026358025
0.35,99.08535901168777
0.4,101.72635335323582
0.45,96.48155682260078
0.5,99.29656759802691
0.55,100.95481289419199
0.6,103.16234668356276
0.65,97.31216556428865
0.7,97.31950443036915
0.75,94.79218682225097
0.8,95.13671639725975
0.85,98.27150946604546
0.9,101.4288752920388
0.95,100.83894418704975
1.0,99.07688843614974
1.05,96.26066242208374
1.1,99.30883900942489
1.15,97.56616549758904
1.2,97.88418293589359
1.25,94.26506910311728
1.3,100.88435075738253
1.35,92.19099094731219
1.4,100.09147322714159
1.45,96.07156212932654
1.5,95.6359238010439
1.55,94.10197028217159
1.6,92.71691891437716
1.65,94.00630707302241
1.7,100.87086709177242
1.75,96.90448206319509
1.8,92.98278894829356
1.85,95.01786196628183
1.9,91.30169842860342
1.95,95.79790532608367
2.0,92.99828213652636
2.05,88.8093015718327
2.1,92.18483556120226
2.15,93.39073313515921
2.2,96.18738605727727
2.25,88.39492260805095
2.3,90.19641023325518
2.35,87.76730649289641
2.4,94.2087400924865
2.45,87.84750120617558
2.5,86.83122434376516
2.55,89.70962958595189
2.6,88.33221408092915
2.65,87.74016086012479
2.7,85.98292570207222
2.75,83.36449268421484
2.8,87.73498599039601
2.85,87.76844874468611
2.9,85.02892094460707
2.95,86.42461574766108
3.0,84.08438103196963
3.05,80.91831561850545
3.1,87.25511553373663
3.15,83.0431640601361
3.2,73.71366131811016
3.25,78.11833541652749
3.3,79.85644534974453
3.35,79.07494299552826
3.4,76.01714217802133
3.45,77.11721646296922
3.5,77.19030024814917
3.55,72.00496718865777
3.6,73.88978092356123
3.65,71.83337022125296
3.7,74.27058386424152
3.75,66.5075109446046
3.8,72.3843793562597
3.85,73.35404312824417
3.9,69.8777108248383
3.95,73.54023909066859
4.0,68.61533476748396
4.05,72.15547054032164
4.1,69.60608736943537
4.15,66.23166775922603
4.2,69.92029386967896
4.25,66.01320617980579
4.3,65.11273609814494
4.35,71.00854413797205
4.4,63.65019734192022
4.45,59.05783502131092
4.5,59.424223363282636
4.55,59.515878580381006
4.6,60.092995126787656
4.65,60.38036109264489
4.7,62.26756381481389
4.75,57.69082840351918
4.8,56.3560517336229
4.85,58.03227910420533
4.9,56.34171677953035
4.95,55.676443988071775
5.0,51.21833619636766
5.05,48.74940083609658
5.1,45.85632061699959
5.15,48.89126702308569
5.2,45.4266368442301
5.25,49.55027962277445
5.3,45.99038043433653
5.35,49.06141041105663
5.4,46.120227697991446
5.45,40.321941005431064
5.5,42.630208162748666
5.55,42.17482301954469
5.6,37.624468601787
5.65,38.12204964611296
5.7,34.64787006510194
5.75,35.86261243002357
5.8,37.909046332504175
5.85,39.23260424526999
5.9,33.924335344763875
5.95,31.75741979583803
6.0,33.737171078157914
6.05,30.463798523810187
6.1,31.747324199408904
6.15,27.946458676210057
6.2,29.264483805277866
6.25,24.26016691058303
6.3,21.11199259526167
6.35,23.95551177935893
6.4,26.00678429622923
6.45,21.146636203902883
6.5,22.075140799897767
6.55,20.304249606615212
6.6,20.227935736803612
6.65,14.749170612550136
6.7,13.603172984241766
6.75,13.289097624744139
6.8,10.647028366392634
6.85,11.598987086792219
6.9,9.176199195246936
6.95,11.728906949230081
7.0,4.1170139392536385
